64 64
0 0 0
0 1 1
0 2 0
0 3 1
0 4 2
0 5 0
0 6 1
0 7 0
0 8 0
0 9 0
0 10 0
0 11 2
0 12 0
0 13 0
0 14 3
0 15 2
0 16 4
0 17 0
0 18 0
0 19 0
0 20 0
0 21 0
0 22 2
0 23 0
0 24 0
0 25 2
0 26 1
0 27 0
0 28 0
0 29 0
0 30 0
0 31 0
0 32 0
0 33 0
0 34 0
0 35 0
0 36 0
0 37 0
0 38 0
0 39 0
0 40 1
0 41 0
0 42 2
0 43 2
0 44 0
0 45 4
0 46 0
0 47 2
0 48 0
0 49 0
0 50 0
0 51 0
0 52 0
0 53 2
0 54 0
0 55 0
0 56 1
0 57 0
0 58 0
0 59 4
0 60 0
0 61 0
0 62 2
0 63 0
1 0 0
1 1 0
1 2 1
1 3 0
1 4 0
1 5 0
1 6 2
1 7 0
1 8 2
1 9 0
1 10 3
1 11 1
1 12 0
1 13 2
1 14 0
1 15 0
1 16 0
1 17 0
1 18 2
1 19 1
1 20 0
1 21 0
1 22 3
1 23 0
1 24 0
1 25 1
1 26 0
1 27 0
1 28 0
1 29 2
1 30 0
1 31 1
1 32 0
1 33 0
1 34 0
1 35 0
1 36 1
1 37 2
1 38 0
1 39 0
1 40 0
1 41 0
1 42 0
1 43 0
1 44 0
1 45 0
1 46 0
1 47 2
1 48 0
1 49 0
1 50 0
1 51 0
1 52 0
1 53 0
1 54 0
1 55 2
1 56 0
1 57 0
1 58 0
1 59 0
1 60 0
1 61 2
1 62 2
1 63 0
2 0 0
2 1 0
2 2 1
2 3 0
2 4 0
2 5 0
2 6 0
2 7 0
2 8 0
2 9 0
2 10 2
2 11 0
2 12 1
2 13 0
2 14 0
2 15 2
2 16 0
2 17 0
2 18 0
2 19 0
2 20 0
2 21 0
2 22 1
2 23 0
2 24 0
2 25 0
2 26 0
2 27 0
2 28 0
2 29 2
2 30 0
2 31 0
2 32 4
2 33 2
2 34 4
2 35 0
2 36 0
2 37 2
2 38 0
2 39 0
2 40 2
2 41 4
2 42 1
2 43 2
2 44 0
2 45 0
2 46 0
2 47 1
2 48 3
2 49 0
2 50 1
2 51 0
2 52 0
2 53 2
2 54 0
2 55 0
2 56 2
2 57 0
